,PIN,Property Class,Tax Year,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Date of Most Recent Sale,Deed No.,Sale Price,Longitude,Latitude,Census Tract,Total Building Square Feet,Multi Property Indicator,Property Address,Modeling Group,Full Baths,Age,Use,Number of Units,Percent Ownership,Condo Class Factor,Multi-Family Indicator,Large Lot,"Condition, Desirability and Utility",Deed Type,O'Hare Noise,Floodplain,Near Major Road,Total Units,Condo Strata,Age Squared,Age Decade,Age Decade Squared,Lot Size Squared,Improvement Size Squared,Location Factor,Garage indicator,Residential share of building,Pure Market Sale,Pure Market Filter,Neigborhood Code (mapping),Square root of lot size,Square root of age,Square root of improvement size,Town and Neighborhood
1864035,28251090540000,241,2019,260,1600,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,4000.0,0.0,,,,-87.6939783641996,41.580356716459,825503.0,,0,16955  KEDZIE AVE,NCHARS,,10,1,,,200.0,,,,,0.0,0.0,1.0,1.0,1.0,100,1.0,1.0,2560000,,0.50763425699936,,,0,0,260,40.0,3.16227766016838,,13260
1864062,28251170211022,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,75810.0,02/07/2019,1903847069.0,1.0,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,O,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1864237,28252040400000,241,2019,120,1170,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2040.0,0.0,,,,-87.6772510081601,41.5812188427003,825503.0,,0,2432  170TH ST,NCHARS,,10,1,,,200.0,,,,,0.0,0.0,0.0,1.0,1.0,100,1.0,1.0,1368900,,0.434164623601657,,,0,0,120,34.2052627529741,3.16227766016838,,13120
1864290,28251170211020,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2990.0,43750.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1864304,28251170211015,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,48050.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1864438,28251170211023,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,60780.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1864478,28253050210000,241,2019,260,6450,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,16120.0,0.0,,,,-87.6851059893219,41.5777690144512,825503.0,,0,17116  CALIFORNIA AVE,NCHARS,,10,1,,,200.0,,,,,0.0,0.0,0.0,1.0,1.0,100,1.0,1.0,41602500,,0.463778727548819,,,0,0,260,80.3118920210451,3.16227766016838,,13260
1864520,28251170211019,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,60760.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1864600,28251170211014,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,75810.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1864640,28251170211009,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,75810.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
