gid,pin10,property_address,age,zoning,est_year_construction,blkgrp,pct_minority,median_age,pct_single_partent_families,pct_non_english_speakers,median_hh_income,gr_api,pct_college_edu,pct_unemployment,pct_hh_below_poverty,pct_hh_with_children,median_hh_value,smoc_api,pct_renter_du,pct_vacant_du,service_line_survey,estimated_land_value,estimated_building_value,estimated_property_value,estimated_property_to_land_value,service_line_survey_pb,resident_type,hyd_make,hyd_year_stamped,hyd_removed,hyd_dist_feet,hyd_id,g_label,prob_g_lsl,prob,why_lead,why_not_lead,sample_count_1
594206,2930111009,16853  CRANE AVE,59,R2,1960,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,13310,118330,131640,8.890308039,2,two-story,two-story,East Jordan,2012,0,100.493319,03-102H,0.310206327,Assumed Lead,IEPAList,NotAssumed,10,2
594501,2930125045,2305 W 170TH ST,61,R2,1958,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,15010,34560,49570,2.302465023,5,1-plus-story,1-plus-story,East Jordan,2012,0,173.0589949,03-114H,0.396199235,Assumed Lead,IEPAList,NotAssumed,4,2
710583,2825319003,3105  LONGFELLOW AVE,60,R1,1959,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,21130,78440,99570,3.712257454,4,split-level,split-level,East Jordan,1996,0,187.4262214,08-055H,0.405209649,Assumed Lead,IEPAList,NotAssumed,10,2
588334,2930115006,16833  SHEA AVE,52,R2,1967,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,12430,76210,88640,6.131134352,2,two-story,two-story,East Jordan,1988,0,93.47765945,02-066H,0.435750531,Assumed Lead,IEPAList,NotAssumed,10,2
703938,2825321029,3017  LONGFELLOW AVE,57,R1,1962,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,35360,73160,108520,2.069004525,1,one-story,one-story,Traverse City,1928,0,151.4474018,08-044H,0.514053393,Assumed Lead,"IEPAList,LeadTest",NotAssumed,6,2
703938,2825321029,3017  LONGFELLOW AVE,57,R1,1962,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,35360,73160,108520,2.069004525,1,one-story,one-story,Traverse City,1928,0,151.4474018,08-044H,0.514053393,Assumed Lead,"IEPAList,LeadTest",NotAssumed,6,2
704429,2825327002,17403  LONGFELLOW AVE,62,R1,1957,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,16870,65250,82120,3.867812685,1,one-story,one-story,East Jordan,1996,0,229.665081,08-055H,0.52246902,Assumed Lead,IEPAList,NotAssumed,8,2
593847,2930110016,16808  CRANE AVE,58,R2,1961,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,13310,58780,72090,4.4162284,1,one-story,one-story,East Jordan,2004,0,175.9283107,03-101H,0.538852126,Assumed Lead,IEPAList,NotAssumed,8,2
707190,2825328013,3004  175TH ST,60,R1,1959,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,13750,73020,86770,5.310545455,4,split-level,split-level,Traverse City,1955,0,160.2419426,08-046H,0.552917511,Assumed Lead,IEPAList,NotAssumed,8,2
595075,2930130037,17068  SHEA AVE,45,R2,1974,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,8520,19130,27650,2.245305164,1,one-story,one-story,East Jordan,2011,0,162.6423414,02-070H,0.555185968,Assumed Lead,IEPAList,NotAssumed,8,2
710568,2825324024,2800  174TH ST,57,R1,1962,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,23270,68110,91380,2.926944564,1,one-story,one-story,Traverse City,1926,0,71.45894564,08-006H,0.566674067,Assumed Lead,"IEPAList,LeadTest",NotAssumed,10,2
702621,2825305027,17104  CALIFORNIA AVE,53,R1,1966,1.70318E+11,93.28063241,86,100,0,38269,0,26.29969419,0,1.976284585,22.64150943,0,24.9,31.08108108,0,30960,75070,106030,2.424741602,1,one-story,one-story,Traverse City,1928,0,200.3510793,04-009H,0.592651202,Assumed Lead,IEPAList,NotAssumed,8,2
710570,2825321002,17401  EMERSON AVE,58,R1,1961,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,22750,71210,93960,3.13010989,1,one-story,one-story,Traverse City,1928,0,269.3416918,08-044H,0.597369487,Assumed Lead,IEPAList,NotAssumed,8,2
594257,2930106025,16742  SHEA AVE,59,R2,1960,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,13310,49580,62890,3.725018783,1,one-story,one-story,East Jordan,2011,0,114.8917434,02-064H,0.612551232,Assumed Lead,IEPAList,NotAssumed,10,2
704435,2825330009,2805  LEXINGTON DR,59,R1,1960,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,17250,73010,90260,4.232463768,1,one-story,one-story,Traverse City,1928,0,169.1224763,08-016H,0.61843388,Assumed Lead,IEPAList,NotAssumed,8,2
703855,2825321008,3015  LONGFELLOW AVE,61,R1,1958,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,24870,54220,79090,2.180136711,1,one-story,one-story,Traverse City,1928,0,238.7199375,08-044H,0.646207116,Assumed Lead,IEPAList,NotAssumed,8,2
703855,2825321008,3015  LONGFELLOW AVE,61,R1,1958,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,24870,54220,79090,2.180136711,1,one-story,one-story,Traverse City,1928,0,238.7199375,08-044H,0.646207116,Assumed Lead,IEPAList,NotAssumed,8,2
703693,2825311007,2815  172ND ST,60,R1,1959,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,16620,67370,83990,4.05354994,1,one-story,one-story,Traverse City,1928,0,214.493182,08-012H,0.647704255,Assumed Lead,IEPAList,NotAssumed,4,2
588348,2930112005,16827  HEAD AVE,66,R2,1953,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,13310,54460,67770,4.091660406,5,1-plus-story,1-plus-story,Traverse City,1926,0,117.8927471,02-093H,0.677213094,Assumed Lead,IEPAList,NotAssumed,10,2
594538,2930129046,17065  TRAPET AVE,66,R2,1953,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,12780,51690,64470,4.044600939,1,one-story,one-story,East Jordan,2011,0,136.7321501,02-088H,0.680344878,Assumed Lead,IEPAList,NotAssumed,4,2
703543,2825312038,3111  WOODWORTH PL,67,R1,1952,1.70318E+11,98.17184644,27,49.22600619,0,49239,0,23.41325811,0,17.18464351,42.10526316,0,17.9,48.24120603,0,21780,64300,86080,2.95224977,1,one-story,one-story,Traverse City,1928,0,195.177774,08-052H,0.687383286,Assumed Lead,IEPAList,NotAssumed,6,2
594897,2930129044,2119 W 170TH ST,66,R2,1953,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,11360,34690,46050,3.053697183,1,one-story,one-story,East Jordan,2011,0,116.8604632,02-087H,0.708007238,Assumed Lead,IEPAList,NotAssumed,2,2
594093,2930109013,16877  ORCHARD RIDGE AVE,61,R2,1958,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,13310,31370,44680,2.35687453,1,one-story,one-story,Traverse City,1926,0,115.714694,03-121H,0.754839165,Assumed Lead,IEPAList,NotAssumed,2,2
588247,2930109020,16832  ANTHONY AVE,63,R2,1956,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,13310,41950,55260,3.15176559,1,one-story,one-story,Traverse City,1926,0,129.8508371,03-111H,0.758744929,Assumed Lead,IEPAList,NotAssumed,8,2
594949,2930125036,17058  ANTHONY AVE,77,R2,1942,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,8520,22390,30910,2.627934272,5,1-plus-story,1-plus-story,Traverse City,1928,0,137.0127856,03-115H,0.766845099,Assumed Lead,IEPAList,NotAssumed,8,2
593426,2930104004,2133 W 167TH ST,60,R2,1959,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,8250,29450,37700,3.56969697,1,one-story,one-story,Traverse City,1928,0,123.7734002,02-090H,0.772608716,Assumed Lead,IEPAList,NotAssumed,10,2
600631,2930112009,16853  HEAD AVE,58,R2,1961,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,13310,41500,54810,3.117956424,1,one-story,one-story,Traverse City,1926,0,95.63144705,02-093H,0.7738833,Assumed Lead,IEPAList,NotAssumed,2,2
594347,2930117030,16960  ANTHONY AVE,64,R2,1955,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,8520,37890,46410,4.447183099,1,one-story,one-story,Traverse City,1928,0,142.3289307,03-113H,0.794666082,Assumed Lead,"IEPAList,LeadTest",NotAssumed,10,2
595063,2930225016,17047  LINCOLN AVE,89,R2,1930,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,17050,62450,79500,3.662756598,1,one-story,one-story,East Jordan,2006,0,71.74160586,02-044H,0.817198236,Assumed Lead,IEPAList,NotAssumed,8,2
